股票代码	股票名称	当前价	涨跌额	涨跌幅(%)	年初至今(%)	成交量(万)	成交额(亿)	换手率(%)	市盈率(TTM)	股息率(%)	市值(亿)
SH688010	福光股份	22.42	-0.68	-2.94%	14.97%	3365.4747	1	0.98%	393.494	0.259	34.43307162
SH688517	金冠电气	26.19	-0.8	-2.96%	127.94%	44017.2674	1.63	20.47%	41.65	0.764	35.64699529
SH688515	裕太微	141.8	-4.34	-2.97%	54.13%	15020.9025	1.52	5.76%	亏损	0	113.44
SH688387	信科移动	7.17	-0.22	-2.98%	42.83%	17522.2285	0.7	4.97%	亏损	0	245.124375
SH688229	博睿数据	52.38	-1.61	-2.98%	53.83%	1423.831	0.61	1.28%	亏损	0	23.25672
SH688680	海优新材	114.77	-3.54	-2.99%	-38.06%	16424.2258	0.82	2.70%	亏损	0.105	96.42999157
SH688665	四方光电	78.36	-2.42	-3.00%	-20.85%	2538.7475	1.1	1.49%	38.841	1.149	54.852
SH688076	诺泰生物	29.15	-0.91	-3.03%	27.07%	4946.9561	0.96	1.18%	46.366	0.686	62.1430777
SH688041	海光信息	74.17	-2.33	-3.05%	84.87%	106524.8198	0.73	6.68%	191.663	0.054	1723.961562
SH688498	源杰科技	207.9	-6.6	-3.08%	73.93%	22864.4731	1.12	8.63%	142.162	0.313	125.985321
SH688800	瑞可达	73.95	-2.35	-3.08%	-30.68%	12160.3981	1.2	2.42%	35.17	0.703	83.67963995
SH688033	天宜上佳	17.39	-0.56	-3.12%	-20.12%	9158.3913	0.89	0.93%	51.33	0.23	97.62198145
SH688696	极米科技	160.65	-5.51	-3.32%	-3.34%	9934.8571	0.69	1.35%	26.019	1.336	112.455
SH688078	龙软科技	41.9	-1.48	-3.41%	31.06%	3226.9478	1.02	1.07%	35.726	0.811	29.92079
SH688577	浙海德曼	40.56	-1.44	-3.43%	-6.09%	2472.423	1.75	3.16%	40.42	0.74	21.93862819
SH688137	近岸蛋白	55.9	-2	-3.45%	-26.45%	3098.8991	1.36	3.24%	63.62	0.894	39.2280704
SH688459	哈铁科技	10	-0.36	-3.47%	10.38%	8486.3312	0.73	9.65%	35.137	0.8	48
SH688285	高铁电气	8.77	-0.32	-3.52%	14.04%	3348.4279	0.6	4.24%	24.612	0.867	33.00062537
SH688027	国盾量子	153.35	-5.66	-3.56%	50.56%	15370.423	0.59	2.11%	亏损	0	123.0187808
SH688314	康拓医疗	34.07	-1.33	-3.76%	0.45%	1658.2599	1.06	1.72%	35.906	1.089	27.6781859
SH688004	博汇科技	32.42	-1.28	-3.80%	56.47%	5741.0509	0.78	4.38%	亏损	0	18.41456
SH688205	德科立	59.64	-2.36	-3.81%	19.57%	9750.8938	0.79	6.94%	63.843	0.537	58.017792
SH688031	星环科技	117.06	-4.95	-4.06%	28.64%	18438.4106	0.56	5.42%	亏损	0	141.4577248
SH688590	新致软件	14.29	-0.61	-4.09%	49.16%	14899.3425	0.64	6.31%	亏损	0	34.11362588
SH688489	DR三未信	70.47	-3.02	-4.11%	3.33%	5174.1993	1.14	3.03%	71.254	0.609	80.25782917
SH688228	开普云	44.58	-1.93	-4.15%	41.08%	6921.8009	0.69	2.28%	30.872	0.994	29.92808755
SH688067	爱威科技	22.32	-0.98	-4.21%	19.17%	6226.3833	1.5	6.88%	106.29	0.448	15.1776
SH688039	当虹科技	52.78	-2.39	-4.33%	40.15%	25198.1824	1.06	5.95%	亏损	0	42.3910487
SH688316	青云科技	47.55	-2.23	-4.48%	68.38%	8407.1173	0.58	4.94%	亏损	0	22.56826421
SH688579	山大地纬	14.17	-0.67	-4.51%	44.74%	12925.223	0.64	3.18%	67.14	0.353	56.681417
SH688036	传音控股	110.7	-5.3	-4.57%	39.21%	62419.6846	0.58	0.69%	40.228	1.626	889.9730375
SH688318	财富趋势	149.19	-7.32	-4.68%	67.35%	24323.7064	0.64	3.56%	84.444	0.335	139.2509622
SH688365	光云科技	16.34	-0.83	-4.83%	106.84%	14557.418	0.59	2.39%	亏损	0	69.57975337
SH688158	优刻得	17.66	-0.97	-5.21%	41.17%	26982.3888	1.13	4.24%	亏损	0	80.0165913
SH688118	普元信息	21.2	-1.27	-5.65%	19.84%	12097.7556	4.23	5.91%	亏损	0	20.2248
SH688095	福昕软件	144.41	-9.29	-6.04%	132.25%	28460.0854	0.61	4.84%	亏损	0.346	95.60274432
SH688258	卓易信息	80.4	-5.7	-6.62%	96.58%	16873.2584	0.9	2.35%	167.641	0.1	69.91309916
SH688128	中国电研	25.43	-1.86	-6.82%	48.89%	20961.6077	0.54	1.98%	27.313	1.573	102.86435
SH688418	震有科技	19.05	-1.75	-8.41%	63.80%	25398.1641	0.96	9.77%	亏损	0	36.882705
SH688512	N慧智微	19.05	-1.87	-8.94%	-8.94%	46588.0733		50.56%	亏损		86.20245929
SH688292	浩瀚深度	28.99	-7.25	-20.01%	88.86%	34569.8023	2.07	30.69%	93.573	0.345	45.55681876
